item_id,problem_id,model,idx,cf_rating,tags,verdict,first_fail_kind,original_labels,root_labels,root_rationale
0a213dce08,1619B,human,79,800,"implementation,math",WA,private,"GE1.3,AE1.1",AE1.1,The counting logic mishandles the mathematical inclusion of 1: for n=7 it inserts only 4 and prints the set size without adding 1. The demonstrated failure is an incorrect counting formula for liked square/cube numbers.
f550873c91,1594A,human,61,800,math,WA,public,"AE1.1,GE4.1",GE4.1,"The construction is valid for small values, but n is read and manipulated as int even though the input allows values up to 1e18. The sample case with 3000000000000 overflows and produces meaningless endpoints."
742d6d58cc,1613E,human,23,2000,"dfs and similar,graphs",WA,private,GE3.1,GE3.1,"The BFS admits a cell using Check(tx,ty), which tests only the raw number of open neighbors rather than whether enough neighboring cells are already forced toward the lab. That faulty condition prevents the long corridor cells in the failing grid from being marked."
bafeb85c8c,1598C,human,11,1200,"data structures,dp,implementation,math,two pointers",WA,public,GE6.2,GE6.2,"The solution prints frequency-debug lines before the answer. The computed answers are mixed with extra fields, violating the required single integer output per test case."
bf1d2f4811,1617C,human,11,1300,"binary search,greedy,math,sortings",WA,private,GE4.1,GE3.1,"The code treats every value x<=n as already usable by assigning a[x]=x, even when that value is a duplicate. The missing uniqueness condition causes duplicate in-range values to be lost instead of converted to missing permutation values."
cc42606f7b,1598G,human,61,3200,"hashing,math,string suffix structures,strings",WA,private,GE4.1,AE1.1,"The string-addition candidate generation omits valid carry/length cases, such as two adjacent addends both shorter than x but summing to x. The failing item has an existing split that the arithmetic length logic never tests."
70c01712a5,1608A,human,59,800,"constructive algorithms,math",WA,public,GE6.1,GE1.2,"The construction prints 1..n, but any sequence starting with 1 violates the requirement that each later element is not divisible by its predecessor. The code is solving a simpler increasing-array task, not the stated divisibility condition."
3418662bc6,1601B,human,19,1900,"data structures,dfs and similar,dp,graphs,shortest paths,two pointers",WA,private,GE6.1,AE6.3,"The 0-1 BFS distance can be correct, but predecessor reconstruction follows auxiliary segment-tree zero-cost nodes and emits the wrong jump position. In the failing case it prints path 4 2 0 instead of a valid shortest jump sequence."
70cd59e62c,1623D,human,28,2300,"implementation,math,probabilities",WA,private,GE4.1,AE1.1,"The probability/cycle computation is mathematically misderived, including an incorrect gcd helper and ad hoc residue aggregation. Several private cases produce wrong modular expectations despite being read correctly."
5123b5e7d0,1623D,human,46,2300,"implementation,math,probabilities",WA,private,GE6.1,AE1.1,"The expectation formula has a timing/probability off-by-one in the robot cycle calculation, visible as answers differing by one or more from the reference. The input stream is parsed correctly; the failure is in the modular probability derivation."
0a3b1e7c10,1575D,human,43,1800,"brute force,dfs and similar,dp",WA,public,GE4.1,GE2.1,The counting logic fails the leading-zero boundary case for longer strings. For 0_25 it counts assignments even though every resulting nonzero number has a leading zero and should be invalid.
